rpt_dt,boro_nm,boro_num,ncic,ct_m,vic_num
2022,2,BROOKLYN,1101,2,112
2023,2,BROOKLYN,1101,2,838
2009,2,BROOKLYN,1201,2,2
2010,2,BROOKLYN,1201,2,1
2011,2,BROOKLYN,1201,2,1
2012,2,BROOKLYN,1201,2,1
2013,2,BROOKLYN,1201,2,2
2014,2,BROOKLYN,1201,2,2
2017,2,BROOKLYN,1201,2,2
2018,2,BROOKLYN,1201,2,2
2019,2,BROOKLYN,1201,2,8
2020,2,BROOKLYN,1201,2,18
2021,2,BROOKLYN,1201,2,52
2022,2,BROOKLYN,1201,2,596
2023,2,BROOKLYN,1201,2,7776
2006,2,BROOKLYN,1301,2,1
2013,2,BROOKLYN,1301,2,1
2018,2,BROOKLYN,1301,2,1
2020,2,BROOKLYN,1301,2,1
2021,2,BROOKLYN,1301,2,7
2022,2,BROOKLYN,1301,2,81
2023,2,BROOKLYN,1301,2,5584
2001,2,BROOKLYN,1313,1,2
2003,2,BROOKLYN,1313,1,1
2007,2,BROOKLYN,1313,1,1
2012,2,BROOKLYN,1313,1,1
2013,2,BROOKLYN,1313,1,2
2015,2,BROOKLYN,1313,1,1
2018,2,BROOKLYN,1313,1,3
2019,2,BROOKLYN,1313,1,3
2020,2,BROOKLYN,1313,1,5
2021,2,BROOKLYN,1313,1,13
2022,2,BROOKLYN,1313,1,263
2023,2,BROOKLYN,1313,1,9669
1997,3,BRONX,1101,2,2
1998,3,BRONX,1101,2,1
2000,3,BRONX,1101,2,1
2005,3,BRONX,1101,2,2
2006,3,BRONX,1101,2,3
2009,3,BRONX,1101,2,1
2010,3,BRONX,1101,2,3
2011,3,BRONX,1101,2,2
2012,3,BRONX,1101,2,2
2013,3,BRONX,1101,2,5
2014,3,BRONX,1101,2,4
2015,3,BRONX,1101,2,7
2016,3,BRONX,1101,2,12
2017,3,BRONX,1101,2,7
2018,3,BRONX,1101,2,16
2019,3,BRONX,1101,2,9
2020,3,BRONX,1101,2,13
2021,3,BRONX,1101,2,14
2022,3,BRONX,1101,2,86
2023,3,BRONX,1101,2,776
2009,3,BRONX,1201,2,1
2012,3,BRONX,1201,2,1
2013,3,BRONX,1201,2,2
2014,3,BRONX,1201,2,2
2017,3,BRONX,1201,2,1
2018,3,BRONX,1201,2,1
2019,3,BRONX,1201,2,3
2020,3,BRONX,1201,2,10
2021,3,BRONX,1201,2,28
2022,3,BRONX,1201,2,320
2023,3,BRONX,1201,2,6095
2013,3,BRONX,1301,2,1
2014,3,BRONX,1301,2,1
